scenario,seed,algo,user,dst,is_cloud,deadline,delay,excess,slack,L_u,O_u_bits,p_u,gateway,assigned_server,assigned_cores_len
1,1,GA,67,8,1,0.11881868375323804,0.05985952163658375,0.0,0.058959162116654286,2000000000.0,819200.0,0.1963181716739735,1,-1,0
1,1,GA,68,7,0,0.1040240640144933,0.0708135408075841,0.0,0.03321052320690919,1500000000.0,1638400.0,0.17533654181283587,7,7,1
1,1,GA,69,0,0,0.11976437802440425,0.11456928698103955,0.0,0.0051950910433647,1500000000.0,1638400.0,0.1337854202779255,5,0,1
1,1,GA,70,8,1,0.11516611724007636,0.07275517690158548,0.0,0.04241094033849088,2000000000.0,819200.0,0.11321788416191958,3,-1,0
1,1,GA,71,1,0,0.1071957385298522,0.11103244224255986,0.0038367037127076536,-0.0038367037127076536,2000000000.0,819200.0,0.13867305731718615,2,1,1
1,1,GA,72,8,1,0.11283027179011207,0.09904869650332955,0.0,0.013781575286782519,1500000000.0,1638400.0,0.13391948927801736,4,-1,0
1,1,GA,73,0,0,0.10761963078586176,0.06866484043220239,0.0,0.03895479035365937,1000000000.0,1638400.0,0.18744412014424733,0,0,1
1,1,GA,74,8,1,0.10762985865279841,0.08137587894765291,0.0,0.026253979705145494,2000000000.0,1228800.0,0.141875301731404,7,-1,0
1,1,GA,75,0,0,0.11007605900389059,0.073096043252048,0.0,0.03698001575184258,1500000000.0,819200.0,0.10820450060156221,0,0,1
1,1,GA,76,6,0,0.10033445643270755,0.07482353334182715,0.0,0.025510923090880405,2000000000.0,819200.0,0.19268052023585863,2,6,1
1,1,GA,77,8,1,0.10987143119886793,0.05734335069642573,0.0,0.0525280805024422,1500000000.0,1228800.0,0.16223133637152604,3,-1,0
1,1,GA,78,1,0,0.11943196826893776,0.09816630358265964,0.0,0.02126566468627812,1500000000.0,1638400.0,0.11167098567810023,1,1,1
1,1,GA,79,5,0,0.10570930457571157,0.10321126427295106,0.0,0.002498040302760504,1000000000.0,819200.0,0.11131741600464223,7,5,1
1,1,GA,80,5,0,0.11496435918153224,0.09332414857874881,0.0,0.021640210602783427,1500000000.0,819200.0,0.14659332411642642,4,5,1
1,1,GA,81,6,0,0.1088557778014099,0.10973097892700552,0.0008752011255956232,-0.0008752011255956232,1500000000.0,1638400.0,0.10920889656891163,6,6,1
1,1,GA,82,7,0,0.1041856208523557,0.06840406162380569,0.0,0.03578155922855002,2000000000.0,1638400.0,0.16317521922027586,7,7,1
1,1,GA,83,1,0,0.11810005141636258,0.09299436082672788,0.0,0.025105690589634702,2000000000.0,819200.0,0.16163837910949103,1,1,1
1,1,GA,84,8,1,0.10033654569360427,0.0545576880273935,0.0,0.04577885766621077,1000000000.0,1228800.0,0.10320813486181538,1,-1,0
1,1,GA,85,0,0,0.10607017853199022,0.07754360800553699,0.0,0.02852657052645323,1500000000.0,1228800.0,0.18074227810412946,0,0,1
1,1,GA,86,5,0,0.11998051764647874,0.10951822168930171,0.0,0.010462295957177029,2000000000.0,1228800.0,0.17867947609394985,6,5,1
1,1,GA,87,7,0,0.1052429359237998,0.1048550840118472,0.0,0.0003878519119525914,1000000000.0,819200.0,0.19153082686153086,1,7,1
1,1,GA,88,8,1,0.11698089043718544,0.08086416223160009,0.0,0.036116728205585355,1500000000.0,1228800.0,0.16703066467384772,3,-1,0
1,1,GA,89,0,0,0.11211366297311408,0.10697688975163032,0.0,0.005136773221483759,2000000000.0,819200.0,0.16928622323352233,3,0,1
