scenario,seed,algo,runtime_sec,energy,violations,viol_rate,avg_delay,tail_delay_p95,max_delay,avg_ue_energy,E_mec,E_cloud,num_mec_tasks,num_cloud_tasks,num_active_mec,jain_delay,jain_ue_energy,mec_count_0,mec_count_1,mec_count_2,mec_count_3,mec_count_4,mec_count_5,mec_count_6,mec_count_7
15,15,Greedy,2.14019687497057,11.332338436699187,1,1.0,0.06650870828124272,0.10307903855808966,0.21577152698996907,0.0038903443669918696,10.737,0.20630400000000002,57,43,7,0.8645411124356793,0.5531712782559097,11,0,10,3,5,9,6,13
15,15,CEGA,25.39639608282596,13.000665007571142,1,1.0,0.07208850361530907,0.10568473501786457,0.21884756833177108,0.0054360660757114074,12.294,0.1630584,67,33,8,0.8891516525090508,0.6441572554303288,3,5,14,7,13,12,6,7
15,15,Random,0.0006567910313606262,14.76088907397395,58,58.0,0.18627527115906495,0.477681469415739,0.6324547973090705,0.02303147873973951,12.4035,0.0542412,89,11,8,0.6359293915946675,0.5223783834380326,10,17,10,6,14,11,14,7
16,16,GA,22.123191457940266,7.016005552260633,11,11.0,0.08824304865481597,0.12970282980232462,0.22854951379357288,0.005568243522606332,6.2775,0.18168120000000001,62,38,4,0.8902623769890498,0.5495877007402423,0,16,0,0,0,13,17,16
16,16,Greedy,1.2676637079566717,13.003680122711085,6,6.0,0.07743002340210126,0.10953893395856946,0.18690996397418838,0.005405993227110851,12.264,0.19908080000000003,58,42,8,0.8894792721766079,0.5621855771353427,2,7,5,8,7,2,13,14
16,16,CEGA,27.592609584098682,13.03280821412027,5,5.0,0.07698243239099037,0.11038616313565797,0.20196014239194443,0.005704754141202692,12.369,0.09333280000000001,81,19,8,0.8676317998684372,0.5713840255786966,1,10,13,4,11,14,15,13
16,16,Random,0.0006575000006705523,14.721418778577704,52,52.0,0.1955954741119662,0.5651981793766927,0.9383493512478107,0.022686039785777032,12.4155,0.0373148,92,8,8,0.5460452145418211,0.46715268169667595,14,11,8,9,12,11,16,11
17,17,GA,23.43167525017634,8.438163234695391,8,8.0,0.07781326165513497,0.11758796899284353,0.14315271981108252,0.004941204346953921,7.767,0.17704280000000003,62,38,5,0.911459498146538,0.7317287887754153,0,11,0,16,11,13,0,11
17,17,Greedy,1.3623108339961618,12.980648009426742,1,1.0,0.07177503897042362,0.11177248079377364,0.11999213903543991,0.005374468094267414,12.303,0.1402012,71,29,8,0.9083695978126127,0.6973992057536643,14,6,10,10,2,10,5,14
17,17,CEGA,27.036671084119007,13.005189637735201,5,5.0,0.07486957619257902,0.1154966786429613,0.12062635127663388,0.005585376377352031,12.3525,0.094152,80,20,8,0.9151286151522582,0.7561559187134497,8,16,13,1,11,8,13,10
17,17,Random,0.0006144170183688402,14.696411374298041,58,58.0,0.1995624105651468,0.45560457622263695,0.8216748836763373,0.022471969742980425,12.4035,0.0457144,90,10,8,0.6264114910076051,0.5705222842392496,10,20,7,13,10,10,9,11
18,18,GA,22.645220458041877,6.982779993226806,16,16.0,0.08710278826161946,0.13330768032702445,0.16323434800249592,0.005064535932268064,6.249,0.2273264,55,45,4,0.9356300035963191,0.6888679147393123,15,0,16,16,0,0,0,8
18,18,Greedy,1.5639451660681516,12.99029537468967,1,1.0,0.07609240919619184,0.11365830021413098,0.11757892049963274,0.005156989746896693,12.2865,0.1880964,63,37,8,0.9245781162605515,0.6547809520923613,9,11,2,19,3,7,7,5
18,18,CEGA,24.954974832944572,13.027201493958605,5,5.0,0.07535351863259256,0.1070740370840694,0.1308062147785025,0.005501230939586063,12.357,0.12007840000000002,77,23,8,0.9226582978734704,0.7085979123357211,11,10,15,18,7,2,7,7
18,18,Random,0.0005622080061584711,14.731226150966124,56,56.0,0.19425990145244704,0.5339983809425655,0.9394671337844229,0.022593733509661238,12.417,0.0548528,88,12,8,0.5675038953270573,0.5038279861715371,13,9,16,10,10,14,5,11
19,19,GA,23.10793466703035,6.956945694750095,13,13.0,0.0852050152442788,0.11780360654804291,0.17774338766274997,0.004850500947500946,6.2445,0.2273956,54,46,4,0.929618234029405,0.666017441290883,14,10,0,13,0,0,17,0
